ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084046-619-174487611,1,1,2023,1,0,0,1,7,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,9,41,0,1,0,0,0,0,0,0,0,0,0,1,2,SAN NICOLÁS DE ARRIBA - PUERTECITO DE LA VIRGEN,,,-102.2172421,21.95951391,1
1084037-112-190828175,1,1,2023,1,2,20,1,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,46,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,HACIENDA SALTO DE LOS SALADOS,,-102.2506617,21.88619253,2
1084037-112-190828160,1,1,2023,1,3,20,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,27,1,0,0,1,0,0,0,0,0,0,1,1,1,HÉROE DE NACOZARI NORTE,INDEPENDENCIA DE MÉXICO,,-102.2848516,21.89096745,3
1084037-112-190828165,1,1,2023,1,14,21,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,CAMINO AL CÓBANO,,-102.2756168,21.91393376,4
1084037-112-190828167,1,1,2023,1,15,50,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MANUEL J. CLOUTHIER DEL RINCÓN,ARROYO,,-102.3206716,21.9304611,5
1084037-112-190828169,1,1,2023,1,17,30,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,30,0,0,0,1,0,0,0,0,0,0,0,1,2,DOCTOR MARIANO AZUELA,,,-102.3152172,21.84833918,6
1084037-112-190828172,1,1,2023,1,21,5,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CONSTITUCIÓN,,,-102.3422365,21.84856765,7
1084037-112-190828182,1,1,2023,1,0,10,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,39,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA SIGLO XXI,,"E.C. KM. 8.4 (AGUASCALIENTES - JALPA) - IEE,  FRENTE AL TUTELAR DE MENORES",-102.3690307,21.88834069,8
1084046-619-174487606,1,1,2023,1,13,1,2,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,,,"AGUASCALIENTES - ZACATECAS, KILOMETRO 45+300",-102.2823955,22.03076341,9
1084037-112-190828190,1,1,2023,1,15,0,2,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 ORIENTE,PRIVADA JAIME NUNÓ,,-102.271783,21.87873257,10
1084037-112-190828191,1,1,2023,1,17,0,2,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,60,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL ÁLVARO OBREGÓN,GENERAL ÁLVARO OBREGÓN,,-102.2481616,21.84766939,11
1084037-112-190828194,1,1,2023,1,10,0,3,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,60,0,0,0,0,0,0,0,0,0,0,0,0,3,ANTONIO DÍAZ SOTO Y GAMA,MARIANO JIMÉNEZ,,-102.3005342,21.89157749,12
1084037-112-190828201,1,1,2023,1,5,30,5,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CAROLINA VILLANUEVA DE GARCÍA,JOSÉ MARÍA CHÁVEZ,,-102.2881294,21.83513196,13
1084037-112-190828210,1,1,2023,1,13,0,6,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,9,40,0,0,0,0,0,0,0,0,0,0,0,0,3,UNIÓN,LICENCIADO BENITO JUÁREZ,,-102.2968542,21.88434811,14
1084037-112-190828214,1,1,2023,1,2,30,7,6,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,49,0,0,0,0,0,0,0,0,0,0,0,0,3,FRANCISCO I. MADERO,BENITO JUÁREZ,,-102.2949986,21.88141984,15
1084037-112-190828223,1,1,2023,1,23,25,7,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL IGNACIO ZARAGOZA,,,-102.3042294,21.91997713,16
1084037-112-190828226,1,1,2023,1,1,49,8,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,A ZACATECAS,BOULEVAR A ZACATECAS NORTE NO. EXTERIOR 849,,-102.2913415,21.92707272,17
1084037-112-190828237,1,1,2023,1,18,40,8,7,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,HERMANOS GALEANA,,-102.2636598,21.85353082,18
1084037-112-190828235,1,1,2023,1,0,10,9,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,PICO DE VALDEMADERA,MONTE DE KENYA,,-102.2655906,21.93609374,19
1084037-112-190828236,1,1,2023,1,0,40,9,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,62,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,LOS CONOS,,-102.2553846,21.87452641,20
1084037-112-190828240,1,1,2023,1,8,20,9,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,9,25,0,0,0,0,0,2,0,0,0,0,0,2,2,JOSÉ DE JESÚS GONZÁLEZ GARCÍA,ADALBERTO SANTACRUZ,,-102.2534555,21.92939095,21
1084037-112-190828242,1,1,2023,1,22,20,9,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,17,0,1,0,0,0,0,0,0,0,0,0,1,2,BOULEVARD ADOLFO RUIZ CORTINES,,"AGUASCALIENTES - JALPA, KILOMETRO 6",-102.3526607,21.87882092,22
1084037-112-190828245,1,1,2023,1,14,30,10,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,REPÚBLICA DE URUGUAY,REPÚBLICA DE ECUADOR,,-102.3010591,21.87011498,23
1084037-112-190828246,1,1,2023,1,15,40,10,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,50,0,0,0,0,0,0,0,0,0,0,0,0,3,NAZARIO ORTIZ GARZA,PARQUE VÍA,,-102.2748909,21.8987228,24
1084037-112-190828254,1,1,2023,1,19,30,11,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA PROLONGACION HEROE INMORTAL,,"PENSIÓN MUNICIPAL - LOS PARGA,  FRENTE GAS GIMEZA",-102.2691145,21.83741841,25
1084037-112-190828266,1,1,2023,1,21,15,12,4,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,46,0,0,0,0,0,0,0,0,0,0,0,0,3,CARLOS SAGREDO,CONVENCIÓN DE 1914 NORTE,,-102.3094019,21.89689601,26
1084037-112-190828255,1,1,2023,1,23,7,12,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,58,0,0,0,0,0,0,0,0,0,0,0,0,3,AYUNTAMIENTO,AVENIDA FERROCARRIL,,-102.2787483,21.86431933,27
1084037-112-190828267,1,1,2023,1,1,25,13,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO MIGUEL DE LA MADRID,EL REFUGIO,,-102.3260228,21.93973122,28
1084037-112-190828268,1,1,2023,1,2,55,13,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA RANCHO PASEO DE SAN ANTONIO,RANCHO SAN ANTONIO,,-102.2662945,21.8097358,29
1084037-112-190828275,1,1,2023,1,5,0,14,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,DOCTOR SALVADOR QUEZADA LIMÓN,AGUASCALIENTES PONIENTE,,-102.3173893,21.88612912,30
1084037-112-190828277,1,1,2023,1,16,10,14,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,16,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN MARCOS,SAN MARCOS,,-102.3243375,21.86285133,31
1084037-112-190828285,1,1,2023,1,17,10,15,7,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,FELIPE SERRANO,CIRCUITO DE SAN MIGUEL,,-102.2677257,21.92566008,32
1084037-112-190828290,1,1,2023,1,22,20,15,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,73,0,0,0,0,0,0,0,0,0,0,0,0,3,,,"AGUASCALIENTES - JOSÉ MARÍA MORELOS, KILOMETRO 11",-102.2105963,21.98553738,33
1084037-112-190828287,1,1,2023,1,2,10,16,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,32,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,GUADALUPE GONZÁLEZ,,-102.317191,21.90778322,34
1084046-619-174487609,1,1,2023,1,5,55,16,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,33,0,1,0,0,0,0,0,0,0,0,0,1,2,,,"NORIAS DE OJOCALIENTE - EL CONEJAL, KILOMETRO 05+000",-102.2135246,21.90169134,35
1084037-112-190828292,1,1,2023,1,9,35,16,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,9,56,0,0,0,0,0,0,0,0,0,0,0,0,3,GUADALUPANO,MARÍA DEL CARMEN MARTÍN DEL CAMPO,,-102.2493495,21.91369057,36
1084037-112-190828293,1,1,2023,1,10,35,16,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,BARDA,,-102.3182482,21.91599944,37
1084046-619-174487610,1,1,2023,1,6,0,17,2,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,6,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,GUADALUPE NÁJERA JIMÉNEZ,,-102.1863868,21.81844646,38
1084037-112-190828313,1,1,2023,1,9,30,18,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,40,0,1,0,0,0,0,0,0,0,0,0,1,2,CULTURA CHALCA,CULTURA CHALCA 105,,-102.2448864,21.91366591,39
1084037-112-190828311,1,1,2023,1,21,43,18,3,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,45,0,1,0,1,0,0,0,0,0,0,0,2,2,BOULEVARD ADOLFO RUIZ CORTINES,,"AGUASCALIENTES - JALPA,  FRENTE A VALLE REDONDO",-102.347469,21.87743997,40
1084037-112-190828322,1,1,2023,1,0,10,20,5,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSEMARÍA ESCRIVÁ DE BALAGUER,JOSÉ MARÍA ESCRIVÁ DE BALAGUER,,-102.2834189,21.82452717,41
1084037-112-190828327,1,1,2023,1,23,10,20,5,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,20,1,0,0,0,0,0,0,0,0,0,1,0,1,AGUASCALIENTES ORIENTE,HÉROE MILITAR,,-102.2709618,21.8966683,42
1084037-112-190828330,1,1,2023,1,3,0,21,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,BARDA,,-102.3186667,21.91561796,43
1084037-112-190828341,1,1,2023,1,21,40,21,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,54,0,0,0,0,0,0,0,0,0,0,0,0,3,VÍA LÁCTEA,CRUZ DEL SUR,,-102.2663831,21.87052086,44
1084037-112-190828344,1,1,2023,1,23,10,21,6,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,47,0,1,0,0,0,0,0,0,0,0,0,1,2,BOULEVARD SAN MARCOS,SAN MARCOS,,-102.3216372,21.86409196,45
1084037-112-190828346,1,1,2023,1,2,40,22,7,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CARLOS SALINAS DE GORTARI,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,,-102.2764337,21.80086676,46
1084037-112-190828349,1,1,2023,1,4,0,22,7,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES NORTE,GENERAL IGNACIO ZARAGOZA,,-102.3000036,21.91600567,47
1084037-112-190828352,1,1,2023,1,6,20,22,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,REENCUENTRO,CALLE DE LA TORRE,,-102.2513356,21.8404922,48
1084037-112-190828357,1,1,2023,1,14,30,22,7,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,55,0,0,0,0,0,0,0,0,0,0,0,0,3,A ZACATECAS,HÉROE DE NACOZARI NORTE,,-102.2919209,21.91375861,49
1084037-112-190828358,1,1,2023,1,15,25,22,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,9,45,0,1,0,3,0,0,0,0,0,0,0,4,2,CIHUATLÁN,,,-102.3286988,21.87237072,50
1084037-112-190828359,1,1,2023,1,16,40,22,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,JOSÉ MARÍA CHÁVEZ,,-102.2928929,21.85808062,51
1084037-112-190828365,1,1,2023,1,0,59,23,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD A ZACATECAS,A ZACATECAS,,-102.2914156,21.92549406,52
1084046-619-174487613,1,1,2023,1,15,52,23,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN NICOLÁS DE ARRIBA - SAN JOSÉ DE LA ORDEÑA,,,-102.1905575,21.9511085,53
1084037-112-190828369,1,1,2023,1,17,25,23,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,3,70 ORIENTE,OJUELOS - AGUASCALIENTES,,-102.2227275,21.86068186,54
1084037-112-190828374,1,1,2023,1,13,0,24,2,1,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 ORIENTE,GUTEMBERG,,-102.2721148,21.88152165,55
1084037-112-190828384,1,1,2023,1,7,16,26,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA SIGLO XXI,,,-102.3571178,21.85618895,56
1084046-619-174487614,1,1,2023,1,2,51,27,5,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,9,42,0,1,0,0,0,0,0,0,0,0,0,1,2,CONVENCIÓN DE 1914 ORIENTE,GUTEMBERG,,-102.2721148,21.88152165,57
1084037-112-190828396,1,1,2023,1,15,0,27,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,47,0,1,0,0,0,0,0,0,0,0,0,1,2,A ZACATECAS,,,-102.2918149,21.85035318,58
1084046-619-174487615,1,1,2023,1,19,54,27,5,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,9,52,0,0,0,0,0,0,0,0,0,0,0,0,3,,,"E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO, KILOMETRO 09+000",-102.2050432,21.79853417,59
1084037-112-190828400,1,1,2023,1,21,50,27,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE DE NACOZARI SUR,GLORIETA DON QUIJOTE,,-102.2813277,21.87765451,60
1084037-112-190828401,1,1,2023,1,1,40,28,6,1,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,35,0,1,0,0,0,0,0,0,0,0,0,1,2,PENSIÓN MUNICIPAL - LOS PARGA,,,-102.2674272,21.82359921,61
1084037-112-190828403,1,1,2023,1,4,4,28,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,BARDA,,-102.3190161,21.91496356,62
1084037-112-190828406,1,1,2023,1,6,30,28,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SIERRA DE SAN BERNARDINO,CARLOS A. MADRAZO,,-102.2721352,21.85223669,63
1084037-112-190828408,1,1,2023,1,12,0,28,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN AUGUSTO,SANTA MAFALDA,,-102.3188742,21.84504534,64
1084046-619-174487616,1,1,2023,1,8,23,29,7,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,26,0,1,0,0,0,0,0,0,0,0,0,1,2,SAN AUGUSTO,SANTA MAFALDA,,-102.3188742,21.84504534,65
1084037-112-190828419,1,1,2023,1,20,37,29,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,49,0,0,0,0,0,0,0,0,0,0,0,0,3,EL CHIQUIHUITE,LAS CUEVAS,,-102.2431591,21.87983548,66
1084037-112-190828431,1,1,2023,1,1,10,31,2,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE INMORTAL,45391,,-102.2694866,21.85858316,67
1084037-112-190828433,1,1,2023,1,9,15,31,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,39,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,GUADALUPE GONZÁLEZ,,-102.316346,21.90369734,68
1084037-112-190828435,1,1,2023,1,9,55,31,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,EL LAUREL PONIENTE,CALLE DE LA DAMIANA,,-102.2411109,21.90258732,69
1084037-112-190828437,1,1,2023,1,13,0,31,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,,,-102.317371,21.90985954,70
1084037-112-190828441,1,1,2023,1,20,55,31,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,58,0,0,0,0,0,0,0,0,0,0,0,0,3,,,"AGUASCALIENTES - POCITOS - JESÚS MARÍA,  FRENTE A JARDIN LAS PALMAS",-102.3270697,21.90529348,71
1087062-112-190828444,1,2,2023,1,4,15,1,3,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FRANCISCO DE J. HERRERA L.,NEVADO DE PALERMO,,-102.2545559,21.94387843,72
1087062-112-190828677,1,2,2023,1,8,5,1,3,1,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,5,8,23,0,1,0,1,0,0,0,0,0,0,0,2,2,ABELARDO RODRÍGUEZ,JAMAY,,-102.3352855,21.87939825,73
1087062-112-190828445,1,2,2023,1,9,40,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,TECNOLÓGICO,,-102.2554292,21.87425432,74
1087062-112-190828446,1,2,2023,1,14,20,1,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,24,0,1,0,0,0,0,0,0,0,0,0,1,2,LUIS DONALDO COLOSIO,BOULEVARD A ZACATECAS,,-102.2948456,21.9254498,75
1087062-112-190828447,1,2,2023,1,19,35,1,3,1,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,5,8,37,0,2,0,0,0,0,0,0,0,0,0,2,2,SIGLO XXI,GERÓNIMO DE LA CUEVA,,-102.2663313,21.92734872,76
1087062-112-190828448,1,2,2023,1,19,50,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,51,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 SUR,CONVENCIÓN DE 1914 SUR,,-102.2942005,21.86537506,77
1087062-112-190828450,1,2,2023,1,20,0,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD LUIS DONALDO COLOSIO,,"AGUASCALIENTES - JALPA,  FRENTE A VALLE REDONDO",-102.3523185,21.87857327,78
1087062-112-190828449,1,2,2023,1,21,10,1,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,5,9,57,0,1,0,1,0,0,0,0,0,0,0,2,2,AGUA MARINA,DIAMANTES,,-102.2207842,21.88612795,79
1087062-112-190828451,1,2,2023,1,3,24,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,RÍO AMAZONAS,,-102.3171318,21.89418318,80
1087062-112-190828457,1,2,2023,1,4,0,2,4,1,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,8,22,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ E. FEMAT GUTIÉRREZ,JOSÉ DE JESÚS GONZÁLEZ GARCÍA,,-102.2562652,21.92986158,81
1087062-112-190828452,1,2,2023,1,7,45,2,4,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA DE LOS MAESTROS,SIGLO XXI,,-102.3230266,21.84328708,82
1087062-112-190828453,1,2,2023,1,16,30,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,RÍO COLORADO,RÍO DUERO,,-102.3212027,21.89253911,83
1087062-112-190828454,1,2,2023,1,18,7,2,4,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,9,47,0,1,0,0,0,0,0,0,0,0,0,1,2,MARIANO ESCOBEDO,CONVENCIÓN DE 1914 SUR,,-102.2769569,21.86819834,84
1087062-112-190828455,1,2,2023,1,20,30,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA VALLARTA,CARRETERA AGUASCALIENES A NORIAS DE OJOCALIENTE,,-102.2353626,21.87809203,85
1087062-112-190828456,1,2,2023,1,20,35,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,38,0,0,0,0,0,0,0,0,0,0,0,0,3,POLIDUCTO,RODOLFO LANDEROS GALLEGOS,,-102.248279,21.90367772,86
1087062-112-190828458,1,2,2023,1,3,15,3,5,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,29,0,1,0,0,0,0,0,0,0,0,0,1,2,A ZACATECAS,,,-102.2910464,21.93890122,87
1087062-112-190828459,1,2,2023,1,4,5,3,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA SAN GABRIEL,,"FRACCIONAMIENTO OJO CALIENTE - EL CONEJAL,  FRENTE A YONQUE GUADALUPE",-102.2265098,21.88371997,88
1087062-112-190828468,1,2,2023,1,12,35,3,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,5,9,36,0,0,0,0,0,1,0,0,0,0,0,1,2,JOSÉ MARÍA CHÁVEZ,HÉROES DE CHAPULTEPEC,,-102.2957512,21.87789338,89
1087062-112-190828467,1,2,2023,1,13,33,3,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,52,0,0,0,0,0,0,0,0,0,0,0,0,3,GLORIETA BENITO JUÁREZ,LAS AMÉRICAS,,-102.3005653,21.87353828,90
1087062-112-190828461,1,2,2023,1,16,0,3,5,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,5,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN JULIÁN,SIERRA NEVADA,,-102.3081362,21.91870582,91
1087062-112-190828460,1,2,2023,1,16,30,3,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA DE LOS MAESTROS,REPÚBLICA DE CUBA,,-102.3106195,21.86497777,92
1087062-112-190828464,1,2,2023,1,20,40,3,5,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,5,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA DEL REY,MARIANO HIDALGO,,-102.2512082,21.85074644,93
